"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T42","rho.adj",0.13,20,5,0.5,200,100,TRUE,TRUE,2
"T43","rho.sharp",0.545,20,5,0.5,200,100,TRUE,TRUE,2
"T43","rho.oracle",0.525,20,5,0.5,200,100,TRUE,TRUE,2
"T43","rho.plug",0.575,20,5,0.5,200,100,TRUE,TRUE,2
"T43","rho.adj",0.57,20,5,0.5,200,100,TRUE,TRUE,2
"T11","rho.sharp",0.28,80,20,0.5,200,NA,TRUE,TRUE,2
"T11","rho.oracle",0.27,80,20,0.5,200,NA,TRUE,TRUE,2
"T11","rho.plug",0.365,80,20,0.5,200,NA,TRUE,TRUE,2
"T11","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,2
"T12","rho.sharp",0.28,80,20,0.5,200,NA,TRUE,TRUE,2
"T12","rho.oracle",0.26,80,20,0.5,200,NA,TRUE,TRUE,2
"T12","rho.plug",0.35,80,20,0.5,200,NA,TRUE,TRUE,2
"T12","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,2
"T13","rho.sharp",0.35,80,20,0.5,200,NA,TRUE,TRUE,2
"T13","rho.oracle",0.38,80,20,0.5,200,NA,TRUE,TRUE,2
"T13","rho.plug",0.455,80,20,0.5,200,NA,TRUE,TRUE,2
"T13","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,2
"T21","rho.sharp",0.285,80,20,0.5,200,NA,TRUE,TRUE,2
"T21","rho.oracle",0.28,80,20,0.5,200,NA,TRUE,TRUE,2
"T21","rho.plug",0.335,80,20,0.5,200,NA,TRUE,TRUE,2
"T21","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,2
"T22","rho.sharp",0.28,80,20,0.5,200,NA,TRUE,TRUE,2
